frame.time_relative,ip.src,ip.dst,_ws.col.protocol,frame.len,tcp.flags,label
"24.107841000","192.168.1.20","192.168.1.10","TCP","60","0x0014",normal,normal
"25.557306000","192.168.1.20","192.168.1.10","DNS","89",,normal,normal
"25.579033000",,,"ARP","42",,normal,normal
"26.500106000",,,"ARP","42",,normal,normal
"26.556394000","192.168.1.20","192.168.1.10","DNS","89",,normal,normal
"27.500349000",,,"ARP","42",,normal,normal
"27.558977000","192.168.1.20","192.168.1.10","DNS","89",,normal,normal
"29.571702000","192.168.1.20","192.168.1.10","DNS","89",,normal,normal
"30.641066000","192.168.1.10","192.168.1.20","iSCSI","102","0x0018",normal,normal
"30.641944000","192.168.1.20","192.168.1.10","iSCSI","102","0x0018",normal,normal
"30.656078000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"31.797243000",,,"ARP","42",,normal,normal
"32.378920000",,,"ARP","60",,normal,normal
"32.500936000",,,"ARP","42",,normal,normal
"32.915445000",,,"ARP","60",,normal,normal
"33.500606000",,,"ARP","42",,normal,normal
"33.572964000","192.168.1.20","192.168.1.10","DNS","89",,normal,normal
"33.915878000",,,"ARP","60",,normal,normal
"34.915723000",,,"ARP","60",,normal,normal
"35.437986000","192.168.1.10","192.168.1.20","DNS","89",,normal,normal
"35.916374000",,,"ARP","60",,normal,normal
"36.561279000","192.168.1.20","192.168.1.10","DNS","72",,normal,normal
"36.563413000","192.168.1.10","192.168.1.20","DNS","130",,normal,normal
"38.144574000","192.168.1.20","192.168.1.10","TCP","66","0x0002",normal,normal
"38.144733000","192.168.1.10","192.168.1.20","TCP","66","0x0012",normal,normal
"38.145110000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"38.145110000","192.168.1.20","192.168.1.10","KRB5","271","0x0018",normal,normal
"38.146040000","192.168.1.10","192.168.1.20","KRB5","226","0x0018",normal,normal
"38.146540000","192.168.1.20","192.168.1.10","TCP","60","0x0011",normal,normal
"38.146570000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"38.146723000","192.168.1.10","192.168.1.20","TCP","54","0x0014",normal,normal
"38.159709000","192.168.1.20","192.168.1.10","TCP","66","0x0002",normal,normal
"38.159904000","192.168.1.10","192.168.1.20","TCP","66","0x0012",normal,normal
"38.160238000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"38.160400000","192.168.1.20","192.168.1.10","KRB5","351","0x0018",normal,normal
"38.161765000","192.168.1.10","192.168.1.20","KRB5","1671","0x0018",normal,normal
"38.163302000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"38.163383000","192.168.1.20","192.168.1.10","TCP","60","0x0011",normal,normal
"38.163439000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"38.163492000","192.168.1.10","192.168.1.20","TCP","54","0x0014",normal,normal
"38.164349000","192.168.1.20","192.168.1.10","TCP","66","0x0002",normal,normal
"38.164472000","192.168.1.10","192.168.1.20","TCP","66","0x0012",normal,normal
"38.164814000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"38.166724000","192.168.1.20","192.168.1.10","KRB5","1514","0x0010",normal,normal
"38.166724000","192.168.1.20","192.168.1.10","KRB5","124","0x0018",normal,normal
"38.166876000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"38.171608000","192.168.1.10","192.168.1.20","KRB5","1571","0x0018",normal,normal
"38.172331000","192.168.1.10","192.168.1.20","TCP","1514","0x0018",normal,normal
"38.174231000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"38.174231000","192.168.1.20","192.168.1.10","TCP","66","0x0010",normal,normal
"38.176504000","192.168.1.20","192.168.1.10","TCP","60","0x0011",normal,normal
"38.176549000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"38.176730000","192.168.1.10","192.168.1.20","TCP","54","0x0014",normal,normal
"38.445749000","192.168.1.20","192.168.1.10","TCP","66","0x0002",normal,normal
"38.445940000","192.168.1.10","192.168.1.20","TCP","66","0x0012",normal,normal
"38.446933000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"38.447449000","192.168.1.20","192.168.1.10","DCERPC","214","0x0018",normal,normal
"38.447700000","192.168.1.10","192.168.1.20","DCERPC","162","0x0018",normal,normal
"38.450879000","192.168.1.20","192.168.1.10","EPM","222","0x0018",normal,normal
"38.453988000","192.168.1.10","192.168.1.20","EPM","322","0x0018",normal,normal
"38.456300000","192.168.1.20","192.168.1.10","TCP","66","0x0002",normal,normal
"38.456446000","192.168.1.10","192.168.1.20","TCP","66","0x0012",normal,normal
